142421,27000,24,20,2016-04-26,E,普通,否,41,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5,21894,11726.32,25,3
9585941,7000,12,22,2016-04-01,D,普通,是,29,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
9665481,3500,12,24,2016-04-02,E,普通,是,37,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
9785541,5000,12,24,2016-04-06,E,普通,是,48,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
9831431,5000,12,22,2016-04-04,D,普通,是,32,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
9841331,6000,12,22,2016-04-02,D,普通,是,36,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
9939951,4500,12,24,2016-04-07,E,普通,是,31,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
9964261,7500,12,22,2016-04-01,D,普通,是,23,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
9988111,4500,12,24,2016-04-01,E,其他,是,24,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10007511,6000,12,24,2016-04-11,E,普通,是,31,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10007811,7500,12,22,2016-04-01,D,普通,是,25,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10012121,9000,6,20,2016-04-03,C,普通,是,26,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10020501,7700,12,22,2016-04-06,D,普通,是,33,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10025911,2432,9,20,2016-04-04,C,普通,否,28,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1,5000,2568.44,5,1
10029161,3348,6,20,2016-04-04,C,普通,否,36,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1,8500,5151.88,5,0
10029671,5000,12,22,2016-04-03,D,普通,是,26,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10050641,4200,12,22,2016-04-05,D,普通,是,27,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10053861,9000,12,20,2016-04-04,C,普通,是,34,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10059921,5000,12,24,2016-04-01,E,普通,是,48,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10060561,2000,12,22,2016-04-04,D,普通,是,24,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10064781,3000,12,22,2016-04-05,D,普通,是,22,男,成功认证,未成功认证,成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10069741,1000,12,22,2016-04-01,F,APP闪电,否,20,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1,6500,5005.33,3,0
10074251,4000,12,24,2016-04-10,E,普通,是,30,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10074271,4500,12,24,2016-04-04,E,普通,是,28,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10083791,2567,12,22,2016-04-04,D,其他,否,43,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1,3000,783.93,8,1
10086241,4500,12,24,2016-04-06,E,普通,是,54,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10088711,9000,12,20,2016-04-06,C,普通,是,34,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10089661,6000,12,22,2016-04-05,D,其他,是,31,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10091071,8200,12,22,2016-04-14,D,普通,是,32,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
10091811,7000,12,22,2016-04-01,D,普通,是,25,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10094871,6000,12,22,2016-04-06,D,普通,是,27,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10107711,2382,12,22,2016-04-04,D,其他,否,26,男,未成功认证,未成功认证,未成功认证,成功认证,成功认证,未成功认证,2,9000,6618,5,0
10108771,2688,6,20,2016-04-04,C,普通,否,30,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1,8200,5511.9,2,0
10110061,5000,12,24,2016-04-01,E,普通,是,54,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0,0,0,0,0
10114231,3149,6,20,2016-04-05,C,其他,否,25,男,成功认证,未成功认证,未成功认证,成功认证,成功认证,未成功认证,7,29451,22471.41,5,3
10116471,3500,12,24,2016-04-01,E,普通,是,38,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0,0,0,0,0
